steamid,playtime_forever,achievement_count,category_activity_pca_recalc,player_type
76561198081008157,390,0,-2.7426462184955027,0
76561198027904347,3928,19,0.1086738958520576,0
76561198220637399,801,11,-1.291979392611885,0
76561198170081071,361,5,-1.970314370241001,0
76561199082492152,1855,43,4.472595531198561,1
76561198161310076,333,0,-2.7426462184955027,0
76561198062877029,14683,43,4.472595531198561,1
76561198004418141,23746,36,3.1430768103229245,1
76561198026989379,454,0,-2.7426462184955027,0
76561198044561633,15192,40,3.983401276358851,1
76561197987280970,1582,10,-1.1998015912664213,0
76561198281081238,472,0,-2.7426462184955027,0
76561198128844741,8148,30,2.075572558957197,1
76561199246239668,201,0,-2.7426462184955027,0
76561198168980050,745,14,-0.5204879491548363,0
76561198030118274,10777,40,3.931832948356175,1
76561198035010599,391,0,-2.7426462184955027,0
76561198041323297,211,0,-2.7426462184955027,0
76561197985021868,405,0,-2.7426462184955027,0
76561198000935729,30314,32,2.5155069638159633,1
76561197994729999,164,5,-1.9683669987540249,0
76561197995150404,366,0,-2.7426462184955027,0
76561199054245549,564,0,-2.7426462184955027,0
76561197994616562,133,0,-2.7426462184955027,0
76561197982946417,262,0,-2.7426462184955027,0
76561197998698277,3892,43,4.472595531198561,1
76561198077444730,4514,30,2.1169106479112316,1
76561198089611316,480,0,-2.7426462184955027,0
76561198030808810,8414,30,2.244465181816804,1
76561198072129087,29392,36,3.182032075020833,1
76561198093566128,308,0,-2.7426462184955027,0
76561198035845858,73,5,-1.9262675133915896,0
76561197984900990,415,6,-1.9412371111867437,0
76561198339086631,1074,4,-2.1687712189269424,0
76561197960384929,346,3,-2.2686526535519147,0
76561198022427391,639,5,-1.970314370241001,0
76561198056909695,455,0,-2.7426462184955027,0
76561198020203467,11200,43,4.472595531198561,1
76561197987808170,60448,38,3.578945772392716,1
76561198326806763,274,0,-2.7426462184955027,0
76561197968671893,219,0,-2.7426462184955027,0
76561198337784749,544,0,-2.7426462184955027,0
76561198056938654,881,2,-2.542883349245559,0
76561198373611339,7859,32,2.539626033016746,1
76561197979439703,850,14,-0.5431137810516783,0
76561198265319109,1173,23,0.953438536760182,1
76561198046621479,143,0,-2.7426462184955027,0
76561197960799782,142,5,-2.1396939598726847,0
76561197995683465,230,0,-2.7426462184955027,0
76561198050746153,533,17,-0.0434378258498222,0
76561198050285365,13222,41,4.156034258041514,1
76561197980583850,1069,20,0.6470330462870604,1
76561197969382396,3700,23,0.7724278305381718,1
76561197996778486,36705,38,3.4849692709798674,1
76561197977534897,7085,33,2.5972651500396697,1
76561197970761123,404,10,-1.2564668308660931,0
76561197973052125,473,1,-2.544189369809561,0
76561197972799925,588,0,-2.7426462184955027,0
76561197996597984,266,0,-2.7426462184955027,0
76561197994851017,3260,10,-1.2175115661681848,0
76561198025111129,188,0,-2.7426462184955027,0
76561198107077231,172,0,-2.7426462184955027,0
76561197972150490,21108,33,2.7000388894531557,1
76561197979864325,411,0,-2.7426462184955027,0
76561197979169919,3208,0,-2.7426462184955027,0
76561198029593271,461,0,-2.7426462184955027,0
76561198104108624,674,0,-2.7426462184955027,0
76561197963394136,2107,43,4.472595531198561,1
76561198044839188,500,10,-1.0326806047373662,0
76561198030273896,2635,0,-2.7426462184955027,0
76561198087733716,3796,24,1.1211281627326268,1
76561197985343058,426,0,-2.7426462184955027,0
76561197991657927,63,4,-2.2703689329379233,0
76561197960436666,421,9,-1.40548671449198,0
76561198303080182,247,0,-2.7426462184955027,0
76561198018085358,1304,20,0.5302805693829153,0
76561197994839062,2547,0,-2.7426462184955027,0
76561198009198554,180,3,-1.995727978422273,0
76561198029732166,785,0,-2.7426462184955027,0
76561199024395391,3431,2,-2.1941848271082143,0
76561198015441277,470,0,-2.7426462184955027,0
76561198015749826,1321,14,-0.4703622339939871,0
76561198064082850,11806,43,4.472595531198561,1
76561198104873334,344,2,-2.340762849686631,0
76561198007169304,33455,34,2.9061169507372298,1
76561197991655057,6408,43,4.472595531198561,1
76561198063900962,53,0,-2.7426462184955027,0
76561198008480668,1005,11,-1.0161738942772425,0
76561197999807713,3395,43,4.472595531198561,1
76561198121098268,24749,43,4.472595531198561,1
76561197966618551,1101,12,-0.7869235071510339,0
76561198052646182,3034,28,1.982514264991301,1
76561198021570635,2600,2,-2.444307935184589,0
76561197998617324,70,0,-2.7426462184955027,0
76561199139776481,11606,8,-1.2294005007140636,0
76561197965277561,1713,20,0.5113607212174558,0
76561197971550276,15673,24,1.04711292796933,1
76561198068088128,10457,39,3.7697020024766448,1
76561197971643307,13408,24,1.1037221080916748,1
76561198072257250,513,0,-2.7426462184955027,0
76561198044531564,16117,42,4.328667239724178,1
76561198038546547,2115,33,2.7693983227163472,1
76561198047015315,10725,27,1.5951217276762149,1
76561197961744176,2457,0,-2.7426462184955027,0
76561198015459681,494,10,-1.3631561370285776,0
76561198051675786,600,0,-2.7426462184955027,0
76561198097666040,429,0,-2.7426462184955027,0
76561198286642793,489,8,-1.1565477062650924,0
76561198090967045,346,0,-2.7426462184955027,0
76561198037583383,1126,0,-2.7426462184955027,0
76561198024958702,15436,43,4.472595531198561,1
76561198013205483,431,0,-2.7426462184955027,0
76561198881358611,543,0,-2.7426462184955027,0
76561198132235994,250,0,-2.7426462184955027,0
76561197985705987,508,0,-2.7426462184955027,0
