,steamid,playtime_forever,achievement_count,crafting_count,player_killer_count,combat_count,exploration_count,death_count,leveling_count,survival_count,efficiency_score,max_survive_minutes,max_items_crafted,max_zombie_kills,max_player_kills,max_travel,max_level,max_fortitude,max_die_times,combat_count_ratio,crafting_count_ratio,exploration_count_ratio,survival_count_ratio,death_count_ratio,player_killer_count_ratio,leveling_count_ratio
1801,76561198149355274,9402,43,8,4,11,6,4,5,5,0.0045734950010636035,1680,5000,2500,25,1000,300,10,28,0.2558139534883721,0.18604651162790697,0.13953488372093023,0.11627906976744186,0.09302325581395349,0.09302325581395349,0.11627906976744186
1802,76561198039801595,563,15,5,0,4,1,1,2,2,0.02664298401420959,180,50,100,0,10,28,4,1,0.26666666666666666,0.3333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.13333333333333333
1803,76561198024647859,32809,43,8,4,11,6,4,5,5,0.001310615989515072,1680,5000,2500,25,1000,300,10,28,0.2558139534883721,0.18604651162790697,0.13953488372093023,0.11627906976744186,0.09302325581395349,0.09302325581395349,0.11627906976744186
1804,76561199025878824,406,1,1,0,0,0,0,0,0,0.0024630541871921183,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1805,76561197962368812,13257,31,8,0,8,3,4,4,4,0.002338387267104171,1680,5000,2500,0,250,140,4,28,0.25806451612903225,0.25806451612903225,0.0967741935483871,0.12903225806451613,0.12903225806451613,0.0,0.12903225806451613
1806,76561198047029812,19169,43,8,4,11,6,4,5,5,0.002243205175022171,1680,5000,2500,25,1000,300,10,28,0.2558139534883721,0.18604651162790697,0.13953488372093023,0.11627906976744186,0.09302325581395349,0.09302325581395349,0.11627906976744186
1807,76561198111824451,247,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1808,76561197980583850,1069,20,5,2,5,1,2,3,2,0.018709073900841908,180,50,500,5,10,70,0,7,0.25,0.25,0.05,0.1,0.1,0.1,0.15
1809,76561198144155929,5174,28,8,0,6,3,3,4,4,0.005411673753382296,1680,5000,500,0,50,140,4,14,0.21428571428571427,0.2857142857142857,0.10714285714285714,0.14285714285714285,0.10714285714285714,0.0,0.14285714285714285
1810,76561198062552118,250,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1811,76561198874427014,4667,43,8,4,11,6,4,5,5,0.009213627598028712,1680,5000,2500,25,1000,300,10,28,0.2558139534883721,0.18604651162790697,0.13953488372093023,0.11627906976744186,0.09302325581395349,0.09302325581395349,0.11627906976744186
1812,76561197995168435,724,11,4,0,3,1,1,1,1,0.015193370165745856,60,50,10,0,10,7,0,1,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091
1813,76561198052847275,516,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1814,76561197993891197,9428,38,8,0,11,5,4,5,5,0.004030547305897327,1680,5000,2500,0,250,300,10,28,0.2894736842105263,0.21052631578947367,0.13157894736842105,0.13157894736842105,0.10526315789473684,0.0,0.13157894736842105
1815,76561198304465551,4120,26,7,0,6,2,4,5,2,0.006310679611650485,180,1500,2500,0,50,300,0,28,0.23076923076923078,0.2692307692307692,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.19230769230769232
1816,76561197985318459,122,7,4,0,2,0,1,0,0,0.05737704918032787,0,0,10,0,0,0,0,1,0.2857142857142857,0.5714285714285714,0.0,0.0,0.14285714285714285,0.0,0.0
1817,76561198399780165,59,1,1,0,0,0,0,0,0,0.01694915254237288,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1818,76561197982243076,2970,28,7,2,6,3,4,3,3,0.009427609427609427,180,1500,500,5,50,70,0,28,0.21428571428571427,0.25,0.10714285714285714,0.10714285714285714,0.14285714285714285,0.07142857142857142,0.10714285714285714
1819,76561198072381855,323,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1820,76561197966242763,347,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1821,76561198079227501,755,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1822,76561198118369799,290,11,4,0,3,1,1,1,1,0.03793103448275862,60,50,100,0,10,7,0,1,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091
1823,76561197965734753,2920,25,7,0,5,3,3,4,3,0.008561643835616438,600,1500,500,0,50,140,4,14,0.2,0.28,0.12,0.12,0.12,0.0,0.16
1824,76561197987689379,3762,24,8,1,4,4,4,2,1,0.006379585326953748,0,5000,100,1,250,28,0,28,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.041666666666666664,0.16666666666666666,0.041666666666666664,0.08333333333333333
1825,76561197960457558,5018,26,7,2,6,3,3,2,3,0.0051813471502590676,600,1500,2500,5,250,28,0,14,0.23076923076923078,0.2692307692307692,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.07692307692307693
1826,76561198830842180,5171,43,8,4,11,6,4,5,5,0.008315606265712629,1680,5000,2500,25,1000,300,10,28,0.2558139534883721,0.18604651162790697,0.13953488372093023,0.11627906976744186,0.09302325581395349,0.09302325581395349,0.11627906976744186
1827,76561198024246936,6052,29,6,0,10,4,3,3,3,0.0047918043621943155,600,500,2500,0,250,70,10,14,0.3448275862068966,0.20689655172413793,0.13793103448275862,0.10344827586206896,0.10344827586206896,0.0,0.10344827586206896
1828,76561197981126199,674,1,0,0,0,0,1,0,0,0.001483679525222552,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1829,76561198092589447,126,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
