steamid,playtime_forever,achievement_count,efficiency_score,combat_count,combat_skill_count,crafting_count,death_count,exploration_count,leveling_count,player_killer_count,survival_count,zombie_killer_count,category_activity_mean,category_activity_pca,abnormal_behavior_flag
76561197964914532,14454,43,0.0029749550297495,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198067040444,413,7,0.0169491525423728,0,0,2,1,1,1,0,1,1,1.4,-11.704496004791622,0
76561199032279097,2979,38,0.0127559583752937,3,4,8,4,4,4,4,4,3,7.6,20.997217297647833,0
76561197972616894,4254,16,0.003761165961448,1,0,5,2,2,2,0,2,2,3.2,-2.076380260589779,0
76561198089139675,153124,43,0.0002808181604451,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561198441849452,18300,43,0.0023497267759562,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561197979803978,474,12,0.0253164556962025,1,0,4,1,1,2,0,2,1,2.4,-6.343096137424796,0
76561197998949214,7315,34,0.004647983595352,2,4,7,3,5,5,1,3,4,6.8,16.907586765356182,0
76561197982617834,170,10,0.0588235294117647,0,0,4,1,1,2,0,1,1,2.0,-8.407808778785427,0
76561198050890851,547,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198093999461,251,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197991757040,17518,43,0.0024546181070898,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198041891495,168,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561199139776481,11606,8,0.0006892986386351,1,4,0,0,1,1,0,0,1,1.6,-10.877089164369892,0
76561197961864608,11417,38,0.0033283699745992,2,4,8,4,5,5,2,4,4,7.6,21.130615828975017,0
76561198338219143,4523,29,0.0064116736679195,3,4,5,3,3,4,0,4,3,5.8,11.465659807884183,0
76561198126267465,11157,43,0.0038540826387021,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561197993312863,151,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561198112672661,165,3,0.0181818181818181,0,0,2,1,0,0,0,0,0,0.6,-15.935679536371188,0
76561198096609152,709,17,0.0239774330042313,1,0,6,1,2,3,0,2,2,3.4,-0.9311161680394092,0
76561198991688065,315,43,0.1365079365079365,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,1
76561197964134665,7609,43,0.0056512025233276,3,4,8,4,6,5,4,5,4,8.6,26.306524279228757,0
76561198350679649,3197,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-19.205035764088496,0
76561197996943649,16157,30,0.0018567803428854,3,0,8,4,3,4,0,4,4,6.0,12.74792849502812,0
76561199383273506,3612,25,0.0069213732004429,2,1,7,3,4,2,0,3,3,5.0,7.486652283921874,0
