steamid,playtime_forever,achievement_count,efficiency_score,efficiency_per_10h,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,max_survive_minutes_intensity,max_items_crafted_intensity,max_zombies_killed_intensity,max_players_killed_intensity,max_fortitude_skill_intensity,max_travel_distance_intensity,max_death_count_intensity,max_character_level_intensity,max_survive_minutes_intensity_norm,max_items_crafted_intensity_norm,max_zombies_killed_intensity_norm,max_players_killed_intensity_norm,max_fortitude_skill_intensity_norm,max_travel_distance_intensity_norm,max_death_count_intensity_norm,max_character_level_intensity_norm,combat_count,combat_percent,combat_skill_count,combat_skill_percent,crafting_count,crafting_percent,death_count,death_percent,exploration_count,exploration_percent,leveling_count,leveling_percent,player_killer_count,player_killer_percent,survival_count,survival_percent,zombie_killer_count,zombie_killer_percent
76561198112768847,555,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
76561198044561633,15192,40,0.0026329647182727752,1.5797788309636651,600,5000,2500,25,10,250,28,300,4,5,5,5,5,4,5,6,0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,3,0.075,4,0.1,8,0.2,4,0.1,5,0.125,5,0.125,4,0.1,3,0.075,4,0.1
76561198047070953,6660,30,0.0045045045045045045,2.7027027027027026,1680,1500,2500,0,10,250,7,28,5,4,5,1,5,4,3,3,1.0,0.75,1.0,0.0,1.0,0.75,0.5,0.4,1,0.03333333333333333,4,0.13333333333333333,7,0.23333333333333334,2,0.06666666666666667,5,0.16666666666666666,2,0.06666666666666667,0,0.0,5,0.16666666666666666,4,0.13333333333333333
76561197990737869,823,4,0.004860267314702308,2.916160388821385,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0,0.0,3,0.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
76561198018185345,1097,18,0.016408386508659983,9.84503190519599,180,50,500,0,0,50,1,140,3,2,4,1,1,3,2,5,0.5,0.25,0.75,0.0,0.0,0.5,0.25,0.8,1,0.05555555555555555,0,0.0,5,0.2777777777777778,1,0.05555555555555555,2,0.1111111111111111,4,0.2222222222222222,0,0.0,2,0.1111111111111111,3,0.16666666666666666
76561198092803383,39,5,0.1282051282051282,76.92307692307692,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0,0.0,0,0.0,4,0.8,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
76561198399544319,11165,43,0.003851321092700403,2.310792655620242,1680,5000,2500,25,10,1000,28,300,5,5,5,5,5,5,5,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0.06976744186046512,4,0.09302325581395349,8,0.18604651162790697,4,0.09302325581395349,6,0.13953488372093023,5,0.11627906976744186,4,0.09302325581395349,5,0.11627906976744186,4,0.09302325581395349
76561198448119212,197,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
76561198327228070,566,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
76561197975391677,3310,19,0.005740181268882176,3.4441087613293053,180,500,100,0,0,50,14,28,3,3,3,1,1,3,4,3,0.5,0.5,0.5,0.0,0.0,0.5,0.75,0.4,2,0.10526315789473684,0,0.0,5,0.2631578947368421,3,0.15789473684210525,3,0.15789473684210525,2,0.10526315789473684,0,0.0,2,0.10526315789473684,2,0.10526315789473684
