steamid,playtime_forever,achievement_count,efficiency_score,combat_count,combat_skill_count,crafting_count,death_count,exploration_count,leveling_count,player_killer_count,survival_count,zombie_killer_count,playtime_outlier,impossible_survival,zero_achieve_high_playtime,abnormal_behavior_flag,category_activity_mean,category_activity_pca,category_activity_mean_recalc,category_activity_pca_recalc
76561198043898087,522,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198036229561,3060,43,0.0140522875816993,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561197974283794,299,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198030888094,3483,25,0.0071777203560149,2,1,7,2,3,2,0,4,4,False,False,False,0,5.0,7.467277838821122,2.7777777777777777,1.343703813064873
76561197992943381,1990,23,0.0115577889447236,2,0,6,3,2,3,1,3,3,False,False,False,0,4.6,5.2542820245336195,2.5555555555555554,1.081678408474225
76561197996710217,71,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561197966170666,577,3,0.0051993067590987,0,0,3,0,0,0,0,0,0,False,False,False,0,0.6,-15.851236481304063,0.3333333333333333,-2.4430019146205866
76561198036102917,898,11,0.0122494432071269,2,0,4,2,1,1,0,0,1,False,False,False,0,2.2,-7.470923746504459,1.2222222222222223,-0.8887523132629825
76561198046242117,312,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198286311746,991,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198028421529,3428,1,0.0002917152858809,1,0,0,0,0,0,0,0,0,False,False,False,0,0.2,-18.195392873445,0.1111111111111111,-2.4684155228018585
76561198079772364,129,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198135737269,12546,43,0.0034273872150486,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198864851315,241,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198028070463,244,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198002734128,18426,30,0.0016281341582546,2,1,8,2,5,4,0,4,4,False,False,False,0,6.0,12.863099908051812,3.3333333333333335,2.054718363390907
76561197967449126,196,10,0.0510204081632653,2,0,4,1,1,0,0,1,1,False,False,False,0,2.0,-8.51016507246492,1.1111111111111112,-1.0762144466424084
76561197994553754,340,10,0.0294117647058823,0,0,4,2,1,1,0,1,1,False,False,False,0,2.0,-8.435139777074314,1.1111111111111112,-1.264580722967608
76561198004611129,36644,43,0.0011734526798384,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561197993621828,7779,33,0.0042421905129193,2,3,8,4,4,5,0,3,4,False,False,False,0,6.6,15.928802787311591,3.6666666666666665,2.6617200260390583
76561198053475768,3945,43,0.0108998732572877,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198011799876,5703,17,0.0029808872523233,1,0,5,1,2,2,0,3,3,False,False,False,0,3.4,-1.017631255689171,1.8888888888888888,-0.031239879873216674
76561197980993256,5108,29,0.0056773688332028,2,1,8,3,4,3,1,4,3,False,False,False,0,5.8,11.737012345829603,3.2222222222222223,1.924436328384183
76561197993525512,495,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561197989293848,9156,34,0.0037134119702927,3,3,6,4,4,3,4,3,4,False,False,False,0,6.8,16.647082132249157,3.7777777777777777,3.133928096853645
76561199053439300,222,9,0.0405405405405405,2,0,5,1,0,0,0,0,1,False,False,False,0,1.8,-9.52542517892194,1.0,-1.2928942851744833
76561198100398836,10081,43,0.004265449856165,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198027512879,4568,43,0.0094133099824868,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198115009354,37915,43,0.0011341157853092,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198083542059,753,11,0.0146082337317397,0,0,4,2,1,1,0,1,2,False,False,False,0,2.2,-7.397970483696488,1.2222222222222223,-1.061154202844678
76561198007881182,459,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561197995165956,30939,43,0.0013898316041242,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198041885150,133,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561197990106384,18483,33,0.0017854244440837,2,1,8,3,6,4,1,4,4,False,False,False,0,6.6,15.991249576693397,3.6666666666666665,2.5773576978320274
76561198263705541,7331,37,0.0050470604283181,3,2,7,3,5,5,4,4,4,False,False,False,0,7.4,19.950812980948097,4.111111111111111,3.4926850026734333
76561198406771630,9679,43,0.0044426077074077,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198123176874,8438,43,0.0050959943114482,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561199108437662,151,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198015279263,454,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198237826136,92,4,0.0434782608695652,0,0,2,1,0,0,0,0,1,False,False,False,0,0.8,-14.89851024299336,0.4444444444444444,-2.1409999804366873
76561198023116710,6159,43,0.0069816528657249,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198036709917,592,11,0.018581081081081,1,0,4,2,2,0,0,1,1,False,False,False,0,2.2,-7.408194473912699,1.2222222222222223,-1.0080600021757273
76561198026157552,8455,40,0.0047309284447072,3,4,8,4,5,3,4,5,4,False,False,False,0,8.0,23.106758754260913,4.444444444444445,4.005390706971883
76561198007802153,579,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
76561198862408744,37798,43,0.0011376263294354,3,4,8,4,6,5,4,5,4,False,False,False,0,8.6,26.306524279228757,4.777777777777778,4.472595531198561
76561198081008157,390,0,0.0,0,0,0,0,0,0,0,0,0,False,False,False,0,0.0,-19.205035764088496,0.0,-2.7426462184955027
