steamid,playtime_forever,achievement_count,crafting_count,crafting_percent,combat_count,combat_percent,exploration_count,exploration_percent,death_count,death_percent,leveling_count,leveling_percent,survival_count,survival_percent,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,playtime_hours,achievement_ratio,efficiency,stage1_speed_kmeans,stage1_speed_gmm
76561198054004608,2110,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,35.166666666666664,1.0,0.02843601895653737,Slow,Normal
76561197997946137,439,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,7.316666666666666,0.0,0.0,Normal,Slow
76561198079772364,129,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,2.15,0.0,0.0,Normal,Slow
76561197993579927,5231,32,7,0.875,10,0.6666666666666666,3,0.5,4,1.0,4,0.8,4,0.8,1680,1500,2500,0,10,250,28,140,87.18333333333334,0.7441860465116279,0.00853587512716221,Slow,Normal
76561198339323993,215,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,3.5833333333333335,0.0,0.0,Normal,Slow
76561198023327915,176,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,2.933333333333333,0.0,0.0,Normal,Slow
76561198080349814,489358,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,8155.966666666666,1.0,0.00012260962322061282,Slow,Normal
76561198001873585,309,2,0,0.0,2,0.1333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0,10,0,0,0,0,0,5.15,0.046511627906976744,0.009031384057853467,Normal,Normal
76561198971959226,800,13,5,0.625,3,0.2,1,0.1666666666666666,2,0.5,1,0.2,1,0.2,60,50,10,0,0,10,7,7,13.333333333333334,0.3023255813953488,0.02267441860295058,Normal,Normal
76561198058291396,559,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,9.316666666666666,0.0,0.0,Normal,Slow
76561199257765441,1395,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,23.25,1.0,0.043010752686322117,Slow,Effective
76561198042773556,21093,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,351.55,1.0,0.0028445455838348897,Slow,Normal
76561198187410553,2200,23,7,0.875,4,0.2666666666666666,2,0.3333333333333333,4,1.0,4,0.8,2,0.4,180,1500,500,0,0,50,28,140,36.666666666666664,0.5348837209302325,0.014587737843153951,Slow,Normal
76561198000413287,484,6,1,0.125,2,0.1333333333333333,1,0.1666666666666666,2,0.5,0,0.0,0,0.0,0,0,0,0,0,10,7,0,8.066666666666666,0.13953488372093023,0.017297712855822215,Normal,Normal
