steamid,playtime_forever,achievement_count,crafting_count,crafting_percent,combat_count,combat_percent,exploration_count,exploration_percent,death_count,death_percent,leveling_count,leveling_percent,survival_count,survival_percent,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,efficiency,efficiency_cap,stage1_speed,stage1_speed_KMeans,stage1_speed_GMM,stage1_speed_Agglomerative,stage2_persona,log_play,cheater_flag
76561198083787826,201888,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.00021298938025043483,0.00021298938025043483,Slow,Normal,Normal,Normal,4.0,12.21547332039967,False
76561198046878168,359,2,2,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.005571030640653006,0.005571030640653006,Slow,Normal,Normal,Normal,0.0,5.886104031450156,False
76561198000388603,22470,32,8,1.0,8,0.5333333333333333,6,1.0,1,0.25,5,1.0,4,0.8,1680,5000,500,0,8,1000,1,300,0.0014241210502892111,0.0014241210502892111,Slow,Normal,Normal,Normal,1.0,10.019980867971933,False
76561198025111129,188,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,5.241747015059643,False
76561197995281961,570,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,6.3473892096560105,False
76561199158305270,7187,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.00598302490607959,0.00598302490607959,Slow,Normal,Normal,Normal,1.0,8.88016824790345,False
76561198006766715,11189,40,8,1.0,15,1.0,4,0.6666666666666666,3,0.75,5,1.0,5,1.0,1680,5000,2500,25,10,50,14,300,0.0035749396728927004,0.0035749396728927004,Slow,Normal,Normal,Normal,1.0,9.322775801305971,False
76561198018254158,19566,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.002197689870182858,0.002197689870182858,Slow,Normal,Normal,Normal,1.0,9.881599752778099,False
76561198033624455,38,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,3.6635616461296463,False
76561197976469696,13286,29,8,1.0,8,0.5333333333333333,5,0.8333333333333334,1,0.25,5,1.0,2,0.4,180,5000,500,0,8,250,1,300,0.0021827487580910595,0.0021827487580910595,Slow,Normal,Normal,Normal,1.0,9.494541392591309,False
