steamid,playtime_forever,achievement_count,crafting_count,combat_count,exploration_count,death_count,leveling_count,survival_count,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,log_playtime,ach_per_10h,crafting_count_rank,combat_count_rank,exploration_count_rank,leveling_count_rank,survival_count_rank,max_death_count_rank,max_survive_minutes_ord,max_items_crafted_ord,max_zombies_killed_ord,max_players_killed_ord,max_fortitude_skill_ord,max_travel_distance_ord,max_death_count_ord,max_character_level_ord,max_death_count_rank_ord,Cluster
76561198025111129,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.241747015059643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561197995281961,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3473892096560105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561199158305270,7187,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,8.88016824790345,3.5898146439559224,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198006766715,11189,40,8,15,4,3,5,5,1680,5000,2500,25,10,50,14,300,9.322775801305971,2.144963688714075,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,1,1,1,0,1,0,0,1,0,1
76561198018254158,19566,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,9.881599752778099,1.3186138816739075,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
76561198033624455,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6635616461296463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561197976469696,13286,29,8,8,5,1,5,2,180,5000,500,0,8,250,1,300,9.494541392591309,1.3096491957105585,1.0,0.5333333333333333,0.8333333333333334,1.0,0.4,0.03571428571428571,0,1,0,0,0,0,0,1,0,0
76561197994575642,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8664680569332965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198067208458,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.272877006546167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
76561198840301773,1619,43,8,15,6,4,5,5,1680,5000,2500,25,10,1000,28,300,7.3901814282264295,15.935756910775696,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1
