,steamid,earliest_unlock,latest_unlock,total_achievements,duration_days,duration_hours,playtime_forever,achievement_efficiency
201,76561198018254158,2019-03-30 09:39:05+00:00,2020-08-19 15:04:16+00:00,43,508.22582175925925,12197.419722222223,326.1,0.13186139221097823
202,76561198018420672,2017-12-02 12:12:43+00:00,2018-12-01 03:35:18+00:00,43,363.64068287037037,8727.37638888889,542.8333333333334,0.07921400061406202
203,76561198018534147,2017-06-27 13:50:30+00:00,2024-05-23 20:01:25+00:00,9,2522.2575810185185,60534.18194444444,3.15,2.857142857142857
204,76561198018576932,2024-08-16 12:41:17+00:00,2025-07-28 09:33:14+00:00,35,345.8694097222222,8300.865833333333,128.38333333333333,0.27262105673114373
205,76561198019020335,2023-01-28 09:31:10+00:00,2023-02-02 15:22:35+00:00,10,5.2440393518518515,125.85694444444445,4.716666666666667,2.1201413427561837
206,76561198019184877,2023-12-22 03:55:01+00:00,2023-12-22 16:25:47+00:00,43,0.5213657407407407,12.512777777777778,9.116666666666667,4.716636197440585
207,76561198019521530,2024-09-18 09:27:06+00:00,2024-12-12 12:42:28+00:00,24,85.1356712962963,2043.256111111111,74.55,0.32193158953722334
208,76561198019563370,2019-05-19 04:25:49+00:00,2019-12-15 07:25:49+00:00,43,210.125,5043.0,168.36666666666667,0.2553949712928133
209,76561198019621629,2016-09-17 15:28:40+00:00,2024-07-28 03:31:58+00:00,31,2870.5022916666667,68892.055,199.25,0.15558343789209536
210,76561198020067850,2021-01-10 11:47:24+00:00,2022-06-09 07:45:26+00:00,38,514.8319675925926,12355.967222222222,1130.25,0.0336208803362088
211,76561198020203467,2020-11-29 12:53:44+00:00,2021-01-18 18:59:25+00:00,43,50.25394675925926,1206.0947222222221,186.66666666666666,0.23035714285714287
212,76561198021125310,2018-01-01 13:41:00+00:00,2024-07-12 16:42:43+00:00,42,2384.1261921296295,57219.02861111111,169.93333333333334,0.2471557473519027
213,76561198021536460,2020-10-27 18:28:41+00:00,2023-02-26 04:46:12+00:00,28,851.4288310185185,20434.291944444445,57.15,0.4899387576552931
214,76561198022620733,2016-11-01 12:01:14+00:00,2024-03-10 07:05:46+00:00,35,2685.794814814815,64459.07555555556,51.083333333333336,0.6851549755301795
215,76561198022855642,2024-04-27 06:20:54+00:00,2024-04-27 07:46:37+00:00,9,0.05952546296296296,1.428611111111111,9.283333333333333,0.9694793536804309
216,76561198022898802,2016-12-31 09:18:22+00:00,2024-10-26 07:39:16+00:00,43,2855.9311805555553,68542.34833333333,75.46666666666667,0.5697879858657243
217,76561198023073191,2016-09-24 15:29:52+00:00,2022-07-24 07:58:21+00:00,43,2128.686446759259,51088.47472222222,629.15,0.06834618135579751
218,76561198023116710,2021-10-31 13:30:19+00:00,2023-10-31 03:58:19+00:00,43,729.6027777777778,17510.466666666667,102.65,0.4188991719434973
219,76561198023791161,2016-10-26 18:45:11+00:00,2024-07-16 10:44:57+00:00,40,2819.66650462963,67671.9961111111,1188.8166666666666,0.03364690378387472
220,76561198024812661,2018-09-01 13:20:34+00:00,2022-07-04 14:28:33+00:00,17,1402.0472106481482,33649.133055555554,19.816666666666666,0.8578637510513036
221,76561198024823934,2023-07-10 07:01:08+00:00,2023-07-28 09:16:27+00:00,17,18.09396990740741,434.2552777777778,14.95,1.1371237458193981
222,76561198024926277,2022-02-01 13:23:28+00:00,2022-02-01 14:11:41+00:00,6,0.033483796296296296,0.8036111111111112,2.3333333333333335,2.571428571428571
223,76561198024958702,2016-10-06 15:04:20+00:00,2025-01-29 18:35:12+00:00,43,3037.146435185185,72891.51444444444,254.73333333333332,0.16880397801622612
224,76561198024981381,2022-02-01 12:40:12+00:00,2022-02-04 11:03:54+00:00,14,2.933125,70.395,11.016666666666667,1.2708018154311649
